,0
HNF1B|6928,0.9489910629272884
TMPRSS2|7113,0.8763576949946672
SPDEF|25803,0.8623916436557468
FOXA1|3169,0.8550936438454144
EFHD1|80303,0.8378340759675598
TRPS1|7227,0.8172646484543693
GAL3ST1|9514,0.8142285810082783
HOMER2|9455,0.8118075856283504
EMX2OS|196047,0.8043364317240684
IHH|3549,0.8035499976717868
HKDC1|80201,0.7903196069888319
OR51E2|81285,0.7775472228580289
EMX2|2018,0.7774028235407098
MYB|4602,0.7744905762381928
GRHL2|79977,0.7717057489770247
TFAP2A|7020,0.7599640145524247
SFTPA2|729238,0.7454528465888672
HNF4A|3172,0.733083914471355
HOXA11AS|221883,0.7315425142731427
CEACAM6|4680,0.7269795178943392
TFAP2C|7022,0.7247958077959678
GALNT6|11226,0.7228586046520673
SLC39A6|25800,0.7210063835085874
TCF21|6943,0.7149697602919591
HOXA11|3207,0.7119326942498927
AMN|81693,0.7113857595997708
ABCC4|10257,0.7097006993201276
SLC3A1|6519,0.7079096128027673
HHLA2|11148,0.7048603223154473
MST1R|4486,0.703639436324941
KLK4|9622,0.7033237392267508
SLC4A4|8671,0.70146514771841
MREG|55686,0.7009045067381277
C19orf77|284422,0.6975518998106427
CREB3L4|148327,0.695489533649102
WNK2|65268,0.6898635129145869
EPCAM|4072,0.6848108260868349
TBC1D9|23158,0.6844283667968054
PAX2|5076,0.6840667078647407
SERPINB1|1992,0.6826135802749562
SLCO4C1|353189,0.68035677874529
HOXA9|3205,0.6795814914535039
C9orf167|54863,0.6784221463209381
TMEM79|84283,0.6764794126233744
SGEF|26084,0.6755092785841783
FOLH1|2346,0.6751897599814145
DMGDH|29958,0.6713321470635447
ANXA4|307,0.6636123843710608
C1orf116|79098,0.6626666539594537
HOXA10|3206,0.6611944674659218
ALDH3B2|222,0.6610789932310839
C6orf223|221416,0.659979760780047
PCA3|50652,0.6591071634209986
TMEM176A|55365,0.6586010027899161
METTL7B|196410,0.6582040863842098
SALL1|6299,0.6581111006079781
KLKP1|606293,0.6576130782461533
HMGA1|3159,0.6573447125238887
ACADL|33,0.6562331843338536
CLRN3|119467,0.6519177352377319
FOXF1|2294,0.6510486062869689
TRPV6|55503,0.6494965994434436
ESR1|2099,0.6489801412812699
KCNE3|10008,0.6486545051844455
ACPP|55,0.6483174721273419
HMOX1|3162,0.6475922043955524
FAM176A|84141,0.647528405929175
FZD5|7855,0.646013174073157
NKX3-1|4824,0.645302080600028
ARHGAP6|395,0.6444146399035982
MYO7B|4648,0.64355519055434
C20orf56|140828,0.6425512677681438
ETV4|2118,0.6418568026765537
CEACAM5|1048,0.6418490349231774
FOXA2|3170,0.6414092457266354
GATA3|2625,0.6402112940589673
CDK18|5129,0.6397249200265285
LRRC26|389816,0.6382498292672116
C18orf45|85019,0.6380797006715688
GCNT3|9245,0.6368783663026809
PDE9A|5152,0.6364718545640187
SYT7|9066,0.636225877412016
LMX1B|4010,0.6356388274426905
TJP3|27134,0.6343176979608989
BHMT2|23743,0.6330174017607191
TSPAN8|7103,0.6318956824701989
GALNT14|79623,0.6313218156335529
ST6GALNAC1|55808,0.6308651029219183
SCTR|6344,0.6303701432121587
CDH16|1014,0.6297641921148596
TBX3|6926,0.6295960341028237
NAPSA|9476,0.6289548445329902
GPX3|2878,0.6279564553993711
STX19|415117,0.6278854140356545
LOC100130933|100130933,0.6260308492430595
CDHR5|53841,0.625317488313023
VIL1|7429,0.625250108542972
ANKS4B|257629,0.6248590157429392
EPB41L4B|54566,0.6244625941771638
FERMT1|55612,0.6230369469130144
UGT2B7|7364,0.6227716823429017
FAM149A|25854,0.6227183377216972
IGSF9|57549,0.6213554980837204
C9orf152|401546,0.6212699314943535
PRLR|5618,0.6210567580508701
TRIM15|89870,0.6182326577331547
SFTPD|6441,0.6178337798996938
LRP2|4036,0.6161105106327156
C10orf108|414235,0.6154613041816634
ACSM5|54988,0.6146206035503334
ARSE|415,0.6136011854106425
ZNF552|79818,0.6135468477681787
FUT2|2524,0.6113621013618162
CRYL1|51084,0.611262807468075
EPN3|55040,0.610075749294064
KLK3|354,0.6082768821469919
SLC17A4|10050,0.6079477497720409
NR1H4|9971,0.6072033107068597
FAM13A|10144,0.6063347169776223
MSMB|4477,0.6059806538832193
CRABP2|1382,0.6047975891592865
BNIP3|664,0.6041363111120222
GLYAT|10249,0.6038473279816585
ACSM3|6296,0.6037543886357584
FMO1|2326,0.6021478611874027
ST14|6768,0.6020935410787083
WDR91|29062,0.6020934170541861
UGT1A6|54578,0.6020813407095593
IRX5|10265,0.6020416528666173
GLYATL1|92292,0.601653454976345
PM20D2|135293,0.6015689838524154
C14orf105|55195,0.5976384262814847
TNFAIP6|7130,0.5965690600927482
MYOM3|127294,0.5954919087549508
KBTBD11|9920,0.5953058924593948
KIF5C|3800,0.5950770904635503
FASN|2194,0.594997106298427
LRRC15|131578,0.594481173310025
CCL15|6359,0.594200508590645
