,0
HNF1B|6928,0.9556958757721847
TMPRSS2|7113,0.8725458877120194
SPDEF|25803,0.8464920867472838
EFHD1|80303,0.8386057456252249
TRPS1|7227,0.8096278165073536
GAL3ST1|9514,0.8073257269587155
EMX2OS|196047,0.8070396334562671
FOXA1|3169,0.8006560115092911
IHH|3549,0.7889932242403039
HNF4A|3172,0.7799330154300397
HOMER2|9455,0.7773692025725616
MYB|4602,0.7734826345215122
EMX2|2018,0.7645276542975468
HKDC1|80201,0.7634267633186613
OR51E2|81285,0.7575411319604397
SFTPA2|729238,0.7545562837812683
TFAP2A|7020,0.7501494174606551
CEACAM6|4680,0.7424312940094726
TCF21|6943,0.7393344568823412
HOXA11AS|221883,0.7314643664018936
SLC4A4|8671,0.7288268616529154
GRHL2|79977,0.7239139355864135
C9orf167|54863,0.7191290962833321
TFAP2C|7022,0.7125022055731511
GALNT14|79623,0.7117565639195655
C20orf56|140828,0.7063162396341749
PAX2|5076,0.7037111026599558
HHLA2|11148,0.7035518292263376
GALNT6|11226,0.7026591162459106
C19orf77|284422,0.698942287191658
NKX3-1|4824,0.6987919913444955
KLK4|9622,0.6987153541331885
ACPP|55,0.6982912003553192
TBC1D9|23158,0.6975322992021176
ESR1|2099,0.69462359718597
DMGDH|29958,0.6923606511104587
AMN|81693,0.688816740791707
STX19|415117,0.6863976144421211
HMGA1|3159,0.684044421763087
MST1R|4486,0.6837641663412153
HOXA10|3206,0.6830032536095345
SLCO4C1|353189,0.6815229399477745
SLC3A1|6519,0.6807672502364077
MREG|55686,0.680184154032085
SGEF|26084,0.6799754186633651
SERPINB1|1992,0.6792558611411512
UGT2B7|7364,0.6747458765414316
SFTPD|6441,0.6717590995112277
PCA3|50652,0.6706100505041055
HOXA11|3207,0.6701747267474176
METTL7B|196410,0.6698295081354981
BHMT2|23743,0.6696694513483115
ETV4|2118,0.6694176488737187
CREB3L4|148327,0.6692784036450787
C6orf223|221416,0.6675513492382492
FAM176A|84141,0.6648517929301514
LMX1B|4010,0.6636047861243735
ACSM5|54988,0.6630104838063979
EPCAM|4072,0.6629968820697887
ANXA4|307,0.6618336046109552
ABCC4|10257,0.6612730113663297
FOLH1|2346,0.6587537911909991
WNK2|65268,0.6583539385388908
FOXF1|2294,0.6582114039510747
TRPV6|55503,0.6575570540693947
KCNE3|10008,0.6557518236984801
NAPSA|9476,0.6535285802339883
SLC39A6|25800,0.6529707271881617
SCTR|6344,0.6529665846711963
ACADL|33,0.6513960189220562
KLKP1|606293,0.6510986740382414
CDK18|5129,0.651031360337277
CDHR5|53841,0.6497591287832489
LRRC26|389816,0.6488992755430592
SLC6A12|6539,0.6487302096076846
CRYL1|51084,0.6479992157411039
GPX3|2878,0.6470450408517954
ARHGAP6|395,0.6465591657572649
LRP2|4036,0.6452260143708364
TMEM79|84283,0.6448584276609715
EPB41L4B|54566,0.6448473550532277
WDR91|29062,0.6444730206604248
TBX3|6926,0.6432608853276567
FOXA2|3170,0.6431455268629571
ARSE|415,0.6418251770754706
HMOX1|3162,0.6414942684699407
SALL1|6299,0.6405606881288504
PDE9A|5152,0.6361111287116281
CLRN3|119467,0.6355680088552045
ACMSD|130013,0.634293123046682
FMO1|2326,0.6333460627950032
GATA3|2625,0.633205870843617
C18orf45|85019,0.6324486300467975
TJP3|27134,0.6323089174365806
FZD5|7855,0.63228052467146
VIL1|7429,0.6308430038288091
TRIM10|10107,0.6282453185164065
MYO7B|4648,0.6281662932126186
NR1H4|9971,0.6270067274838613
TMEM176A|55365,0.6269878601667707
C1orf116|79098,0.6261694148611547
ANKS4B|257629,0.6251621372181984
FUT2|2524,0.6250829741299091
C9orf152|401546,0.6238593478995944
FERMT1|55612,0.6238460425027836
SYT7|9066,0.6227556493433022
EPN3|55040,0.6226472474471945
CCL15|6359,0.6216945589764915
PPP1R1B|84152,0.6202352779483873
ERBB4|2066,0.6200896667604203
ALDH3B2|222,0.6195015189948236
SLC22A2|6582,0.6193743643838312
PKP3|11187,0.6189546535089234
C14orf105|55195,0.6188631515282332
GCNT3|9245,0.6188217876097624
SHH|6469,0.6186889881122113
KLK3|354,0.6185985244550651
HOXA9|3205,0.617216218993035
KIF5C|3800,0.6168172322970886
TRIM15|89870,0.6157864172319385
CPNE4|131034,0.6144843517183274
GLYAT|10249,0.6139289618766248
TSPAN8|7103,0.6128038064946753
BNIP3|664,0.6127676599359295
DPYS|1807,0.6124249722972099
CDX2|1045,0.6112284128471224
TMEM37|140738,0.6102782975671632
PRLR|5618,0.6085366398221721
LOC100130933|100130933,0.6076041999296731
MSMB|4477,0.6074779238018417
GLYATL1|92292,0.6074670887072879
LRRC15|131578,0.6074002770864178
CDH16|1014,0.6071660122155378
FAM149A|25854,0.6070938046487064
KBTBD11|9920,0.6069268845751343
TNFAIP6|7130,0.6054928062906704
CEACAM5|1048,0.6052029551849412
CRABP2|1382,0.6042580883754864
HOXA13|3209,0.6031532461652607
PRELID2|153768,0.6030635380917153
PM20D2|135293,0.6030028686765128
C10orf108|414235,0.6022347293618309
ACY3|91703,0.60121187547003
ST14|6768,0.6002852021029192
ATP10B|23120,0.6001130905673564
TINAG|27283,0.5974357350304538
ACSM3|6296,0.5972428200874655
COL4A3|1285,0.5966559250626127
SLC47A1|55244,0.5962418209691189
MFSD2B|388931,0.5962194321220384
SFTA1P|207107,0.5961105232908928
ZG16B|124220,0.5950969124487302
C9orf140|89958,0.5943485906237589
UGT1A6|54578,0.5940152723302465
BBOX1|8424,0.5929213196094476
MET|4233,0.5926894559058844
USH1C|10083,0.5918870420584998
