,0
HNF1B|6928,0.9611200507643538
SPDEF|25803,0.8884087605595801
TMPRSS2|7113,0.8816455416366513
TRPS1|7227,0.8445595417540401
GAL3ST1|9514,0.8317007379524297
EFHD1|80303,0.8307813964298334
HKDC1|80201,0.7951309066277357
HOMER2|9455,0.7874666360902591
HNF4A|3172,0.7822822475639524
IHH|3549,0.7796240098266369
FOXA1|3169,0.7686971046226838
SFTPA2|729238,0.7638632283935607
TFAP2A|7020,0.7630733113429458
EMX2|2018,0.7595160377426187
EMX2OS|196047,0.756215414164477
MYB|4602,0.7558469163566239
OR51E2|81285,0.7532462187175
C19orf77|284422,0.7417643803293446
CEACAM6|4680,0.7336940741617632
GALNT6|11226,0.7320651472500959
HOXA11AS|221883,0.7285940209817083
GRHL2|79977,0.7239877437093964
GALNT14|79623,0.7155772480467992
SLC3A1|6519,0.7064861908242219
NKX3-1|4824,0.7060198429314035
AMN|81693,0.7057994134104304
HOXA11|3207,0.7054392929999198
KCNE3|10008,0.7050507930610044
HHLA2|11148,0.7001566808977449
TCF21|6943,0.6998987105380361
C9orf167|54863,0.6997221757375236
WNK2|65268,0.6984454143119634
SLC4A4|8671,0.693523804254095
MREG|55686,0.6925290992049649
TFAP2C|7022,0.6923702922513544
TBC1D9|23158,0.6906303594938257
C6orf223|221416,0.6893554222219456
EPCAM|4072,0.6878313429264917
CREB3L4|148327,0.6869740359016563
KLK4|9622,0.6831747013770946
MST1R|4486,0.6810706816992578
ARSE|415,0.6798283867663601
PCA3|50652,0.6789734458821877
DMGDH|29958,0.6768321611273171
ST6GALNAC1|55808,0.6738274686420926
FOLH1|2346,0.6719515453863136
ACPP|55,0.6704645241573253
HMGA1|3159,0.6702490891105461
ANXA4|307,0.6693979058463444
LMX1B|4010,0.6687190274061519
PAX2|5076,0.6666980192239602
HOXA10|3206,0.6656722466641316
SLC39A6|25800,0.6636215015756279
ESR1|2099,0.6636184525140021
SLCO4C1|353189,0.6629482055506135
ARHGAP6|395,0.6554525753463656
FOXA2|3170,0.6543234242112217
GATA3|2625,0.6541974617275914
HMOX1|3162,0.6526433979664239
SERPINB1|1992,0.652521609051409
ACSM5|54988,0.6519671806880714
C1orf116|79098,0.6503733396678035
MYO7B|4648,0.6503433136480563
ABCC4|10257,0.6495052999450237
C20orf56|140828,0.6482289037681144
SGEF|26084,0.6478949478465155
TRPV6|55503,0.6470733881766462
TMEM79|84283,0.6469453502325271
UGT2B7|7364,0.6468522063914952
TSPAN8|7103,0.6457444481109575
KLKP1|606293,0.6457365234939239
VIL1|7429,0.6451643258059665
LRP2|4036,0.6448361772503757
NAPSA|9476,0.6438067420065776
CDHR5|53841,0.6438014089442545
HOXA9|3205,0.6431630785898115
ACADL|33,0.6428051862709716
LRRC26|389816,0.6405045745697862
METTL7B|196410,0.6400856197121843
HOXA13|3209,0.6397168845143486
C18orf45|85019,0.6388022041407722
EPB41L4B|54566,0.6363259082296637
EPN3|55040,0.6361053183704541
SALL1|6299,0.635604220617005
ETV4|2118,0.6340457904712502
FAM176A|84141,0.6327751806620654
TRIM15|89870,0.6321216363907685
CDK18|5129,0.6316827219288976
CEACAM5|1048,0.6292845650594083
GCNT3|9245,0.6291494816639918
NR1H4|9971,0.6258273309147102
MOGAT3|346606,0.6248917420680544
BHMT2|23743,0.6239706016693423
FERMT1|55612,0.6230827090444033
FUT2|2524,0.6215958405292221
ZG16B|124220,0.6213566778876092
