,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
Fold_1,1.0,0.7167381974248928,0.7699115044247787,0.7699115044247787,0.7699115044247787
Fold_2,0.7167381974248928,1.0,0.7316017316017316,0.7316017316017316,0.7391304347826086
Fold_3,0.7699115044247787,0.7316017316017316,1.0,0.7699115044247787,0.7777777777777778
Fold_4,0.7699115044247787,0.7316017316017316,0.7699115044247787,1.0,0.7543859649122807
Fold_5,0.7699115044247787,0.7391304347826086,0.7777777777777778,0.7543859649122807,1.0
