fold_1,fold_2,jaccard
1,2,0.941747572815534
1,3,0.9323671497584541
1,4,0.9323671497584541
1,5,0.9512195121951219
2,3,0.941747572815534
2,4,0.941747572815534
2,5,0.9512195121951219
3,4,0.941747572815534
3,5,0.9512195121951219
4,5,0.941747572815534
