fold_1,fold_2,jaccard
1,2,0.948368241597662
1,3,0.9445794846864366
1,4,0.9464720194647201
1,5,0.9559902200488998
2,3,0.949317738791423
2,4,0.9512195121951219
2,5,0.9464720194647201
3,4,0.9426906265177271
3,5,0.9426906265177271
4,5,0.941747572815534
