fold_1,fold_2,fold_3,fold_4,fold_5
C7|730,C8orf22|492307,C6|729,C8orf84|157869,C6orf223|221416
C8orf34|116328,C8orf34|116328,C7|730,C8orf85|441376,C6|729
C8orf46|254778,C8orf47|203111,C8orf34|116328,C9orf152|401546,C7|730
C8orf47|203111,C8orf84|157869,C8orf47|203111,C9orf71|169693,C8orf34|116328
C8orf84|157869,C8orf85|441376,C8orf84|157869,CA12|771,C8orf46|254778
C8orf85|441376,C9orf152|401546,C8orf85|441376,CA2|760,C8orf47|203111
C9orf152|401546,C9orf71|169693,C9orf152|401546,CA4|762,C8orf85|441376
C9orf71|169693,CA12|771,C9orf71|169693,CA8|767,C9orf152|401546
CA12|771,CA2|760,CA12|771,CA9|768,C9orf71|169693
CA2|760,CA4|762,CA2|760,CABP1|9478,CA12|771
CA4|762,CA8|767,CA3|761,CACNA1B|774,CA2|760
CA8|767,CA9|768,CA4|762,CACNA1G|8913,CA3|761
CA9|768,CABP1|9478,CA8|767,CACNA2D1|781,CA4|762
CABP1|9478,CACNA1B|774,CA9|768,CACNA2D2|9254,CA8|767
CACNA1B|774,CACNA1G|8913,CABP1|9478,CACNG1|786,CA9|768
CACNA1G|8913,CACNA2D1|781,CACNA1B|774,CACNG4|27092,CABP1|9478
CACNA2D1|781,CACNA2D2|9254,CACNA1G|8913,CADM2|253559,CACNA1B|774
CACNA2D2|9254,CACNG1|786,CACNA2D1|781,CADM3|57863,CACNA1G|8913
CACNG1|786,CACNG4|27092,CACNA2D2|9254,CADPS|8618,CACNA2D1|781
CACNG4|27092,CADM2|253559,CACNG1|786,CALB2|794,CACNA2D2|9254
CADM2|253559,CADM3|57863,CACNG4|27092,CALCA|796,CACNG1|786
CADM3|57863,CADPS|8618,CADM2|253559,CALCR|799,CACNG4|27092
CADPS|8618,CALB1|793,CADM3|57863,CALML3|810,CADM2|253559
CALB1|793,CALB2|794,CADPS|8618,CALML5|51806,CADM3|57863
CALB2|794,CALCA|796,CALB2|794,CAMK2B|816,CADPS|8618
CALCA|796,CALCR|799,CALCA|796,CAPN13|92291,CALB2|794
CALCR|799,CALML3|810,CALCR|799,CAPN6|827,CALCA|796
CALML3|810,CALML5|51806,CALML3|810,CAPN8|388743,CALCR|799
CALML5|51806,CAMK2B|816,CALML5|51806,CAPN9|10753,CALML3|810
CAMK2B|816,CAPN13|92291,CAMK2B|816,CAPSL|133690,CALML5|51806
CAPN13|92291,CAPN6|827,CAPN13|92291,CARTPT|9607,CAMK2B|816
CAPN6|827,CAPN8|388743,CAPN6|827,CASKIN1|57524,CAPN13|92291
CAPN8|388743,CAPN9|10753,CAPN8|388743,CASP14|23581,CAPN6|827
CAPN9|10753,CAPSL|133690,CAPN9|10753,CASQ2|845,CAPN8|388743
CAPSL|133690,CARTPT|9607,CAPSL|133690,CBLC|23624,CAPN9|10753
CARTPT|9607,CASKIN1|57524,CARTPT|9607,CBLN2|147381,CAPSL|133690
CASKIN1|57524,CASP14|23581,CASKIN1|57524,CBLN4|140689,CARTPT|9607
CASP14|23581,CASQ2|845,CASQ2|845,CBS|875,CASKIN1|57524
CASQ2|845,CBLC|23624,CBLC|23624,CCDC160|347475,CASP14|23581
CBLC|23624,CBLN2|147381,CBLN2|147381,CCDC60|160777,CASQ2|845
CBLN2|147381,CBLN4|140689,CBLN4|140689,CCK|885,CBLC|23624
CBLN4|140689,CBS|875,CBS|875,CCL13|6357,CBLN2|147381
CCDC108|255101,CCDC108|255101,CCDC108|255101,CCL14-CCL15|348249,CBLN4|140689
CCDC160|347475,CCDC160|347475,CCDC160|347475,CCL15|6359,CBS|875
CCDC60|160777,CCDC60|160777,CCDC60|160777,CCL18|6362,CCDC108|255101
CCK|885,CCK|885,CCK|885,CCL19|6363,CCDC160|347475
CCL13|6357,CCL13|6357,CCL13|6357,CCL20|6364,CCDC60|160777
CCL14-CCL15|348249,CCL14-CCL15|348249,CCL14-CCL15|348249,CCL21|6366,CCK|885
CCL14|6358,CCL14|6358,CCL15|6359,CCL24|6369,CCL13|6357
CCL15|6359,CCL15|6359,CCL18|6362,CCNI2|645121,CCL14-CCL15|348249
CCL18|6362,CCL18|6362,CCL19|6363,CCNO|10309,CCL14|6358
CCL19|6363,CCL19|6363,CCL20|6364,CD164L2|388611,CCL15|6359
CCL20|6364,CCL20|6364,CCL21|6366,CD177|57126,CCL18|6362
CCL21|6366,CCL21|6366,CCL24|6369,CD19|930,CCL19|6363
CCL24|6369,CCL24|6369,CCNI2|645121,CD1A|909,CCL20|6364
CCNI2|645121,CCNI2|645121,CCNO|10309,CD207|50489,CCL21|6366
CCNO|10309,CCNO|10309,CD164L2|388611,CD300LG|146894,CCL24|6369
CD164L2|388611,CD164L2|388611,CD177|57126,CD36|948,CCNI2|645121
