fold_1,fold_2,fold_3,fold_4,fold_5
553137,553137,553137,553137,553137
652919,652919,652919,652919,652919
729884,729884,729884,729884,729884
A1CF|29974,A1CF|29974,A1CF|29974,A1CF|29974,A1CF|29974
A2ML1|144568,A2ML1|144568,A2ML1|144568,A2ML1|144568,A2ML1|144568
AADAC|13,ABCA12|26154,AADAC|13,ABCA12|26154,AADAC|13
ABCA12|26154,ABCA13|154664,ABCA12|26154,ABCA13|154664,ABCA12|26154
ABCA13|154664,ABCA4|24,ABCA13|154664,ABCA4|24,ABCA13|154664
ABCA4|24,ABCA8|10351,ABCA4|24,ABCA8|10351,ABCA4|24
ABCA8|10351,ABCB1|5243,ABCA8|10351,ABCB1|5243,ABCA8|10351
ABCB1|5243,ABCC11|85320,ABCB1|5243,ABCC11|85320,ABCB1|5243
ABCC11|85320,ABCC13|150000,ABCC11|85320,ABCC13|150000,ABCC11|85320
ABCC13|150000,ABCC2|1244,ABCC13|150000,ABCC2|1244,ABCC13|150000
ABCC2|1244,ABCC3|8714,ABCC2|1244,ABCC3|8714,ABCC2|1244
ABCC3|8714,ABCC4|10257,ABCC3|8714,ABCC4|10257,ABCC3|8714
ABCC4|10257,ABCC6P1|653190,ABCC4|10257,ABCC6P1|653190,ABCC4|10257
ABCC6P1|653190,ABCC6|368,ABCC6P1|653190,ABCC6|368,ABCC6P1|653190
ABCC6|368,ABCC8|6833,ABCC6|368,ABCC8|6833,ABCC6|368
ABCC8|6833,ABHD12B|145447,ABCC8|6833,ABI3BP|25890,ABCC8|6833
ABI3BP|25890,ABI3BP|25890,ABHD12B|145447,ABO|28,ABHD12B|145447
ABO|28,ABO|28,ABO|28,ABP1|26,ABI3BP|25890
ABP1|26,ABP1|26,ABP1|26,ACADL|33,ABO|28
ACADL|33,ACADL|33,ACADL|33,ACAN|176,ABP1|26
ACAN|176,ACAN|176,ACAN|176,ACE2|59272,ACADL|33
ACE2|59272,ACE2|59272,ACE2|59272,ACHE|43,ACAN|176
ACHE|43,ACHE|43,ACHE|43,ACMSD|130013,ACE2|59272
ACMSD|130013,ACMSD|130013,ACMSD|130013,ACOXL|55289,ACHE|43
ACOXL|55289,ACOXL|55289,ACOXL|55289,ACPP|55,ACMSD|130013
ACPP|55,ACPP|55,ACPP|55,ACSM1|116285,ACOXL|55289
ACSM1|116285,ACSM1|116285,ACSM1|116285,ACSM2A|123876,ACPP|55
ACSM2A|123876,ACSM2A|123876,ACSM2A|123876,ACSM2B|348158,ACSM1|116285
ACSM2B|348158,ACSM2B|348158,ACSM2B|348158,ACSM3|6296,ACSM2A|123876
ACSM3|6296,ACSM3|6296,ACSM3|6296,ACSM5|54988,ACSM2B|348158
ACSM5|54988,ACSM5|54988,ACSM5|54988,ACSS3|79611,ACSM3|6296
ACSS3|79611,ACTA1|58,ACTA1|58,ACTA1|58,ACSM5|54988
ACTA1|58,ACTC1|70,ACTC1|70,ACTC1|70,ACSS3|79611
ACTC1|70,ACTG2|72,ACTG2|72,ACTG2|72,ACTA1|58
ACTG2|72,ACTL8|81569,ACTL8|81569,ACTL8|81569,ACTC1|70
ACTL8|81569,ACTN2|88,ACTN2|88,ACTN2|88,ACTG2|72
ACTN2|88,ACY3|91703,ACY3|91703,ACY3|91703,ACTL8|81569
ACY3|91703,ADAM12|8038,ADAM12|8038,ADAM12|8038,ACTN2|88
ADAM12|8038,ADAM33|80332,ADAM33|80332,ADAM33|80332,ACY3|91703
ADAM33|80332,ADAM6|8755,ADAM6|8755,ADAM6|8755,ADAM12|8038
ADAM6|8755,ADAMDEC1|27299,ADAMDEC1|27299,ADAMDEC1|27299,ADAM33|80332
ADAMDEC1|27299,ADAMTS12|81792,ADAMTS12|81792,ADAMTS12|81792,ADAM6|8755
ADAMTS12|81792,ADAMTS15|170689,ADAMTS15|170689,ADAMTS15|170689,ADAMDEC1|27299
ADAMTS15|170689,ADAMTS16|170690,ADAMTS16|170690,ADAMTS16|170690,ADAMTS12|81792
ADAMTS16|170690,ADAMTS18|170692,ADAMTS18|170692,ADAMTS18|170692,ADAMTS15|170689
ADAMTS18|170692,ADAMTS19|171019,ADAMTS19|171019,ADAMTS19|171019,ADAMTS16|170690
ADAMTS19|171019,ADCY1|107,ADCY1|107,ADCY1|107,ADAMTS19|171019
ADCY1|107,ADCY2|108,ADCY2|108,ADCY2|108,ADCY1|107
ADCY2|108,ADCY5|111,ADCY5|111,ADCY5|111,ADCY2|108
ADCY5|111,ADCY8|114,ADCY8|114,ADCY8|114,ADCY5|111
ADCY8|114,ADH1B|125,ADH1B|125,ADH1B|125,ADCY8|114
ADH1B|125,ADH1C|126,ADH1C|126,ADH1C|126,ADH1B|125
ADH1C|126,ADH6|130,ADH6|130,ADH6|130,ADH1C|126
ADH6|130,ADIPOQ|9370,ADIPOQ|9370,ADIPOQ|9370,ADH6|130
ADIPOQ|9370,ADM|133,ADM|133,ADM|133,ADIPOQ|9370
ADM|133,ADORA1|134,ADORA1|134,ADORA1|134,ADM|133
ADORA1|134,ADRA1B|147,ADRA1B|147,ADRA1B|147,ADORA1|134
ADRA1B|147,ADRB1|153,ADRB1|153,ADRB1|153,ADRA1B|147
ADRB1|153,AFF3|3899,AFF3|3899,AFF3|3899,ADRB1|153
AFF3|3899,AGR2|10551,AGR2|10551,AGR2|10551,AFF3|3899
AGR2|10551,AGR3|155465,AGR3|155465,AGR3|155465,AGR2|10551
AGR3|155465,AGTR1|185,AGTR1|185,AGTR1|185,AGR3|155465
AGTR1|185,AGTR2|186,AGT|183,AGT|183,AGTR1|185
AGTR2|186,AGT|183,AGXT2|64902,AGXT2|64902,AGTR2|186
AGT|183,AGXT2|64902,AIM1L|55057,AIM1L|55057,AGT|183
AGXT2|64902,AIM1L|55057,AIM2|9447,AIM2|9447,AGXT2|64902
AIM1L|55057,AIM2|9447,AK5|26289,AK5|26289,AIM1L|55057
AIM2|9447,AK5|26289,AKR1B10|57016,AKR1B10|57016,AIM2|9447
AK5|26289,AKR1B10|57016,AKR1B15|441282,AKR1B15|441282,AK5|26289
AKR1B10|57016,AKR1C1|1645,AKR1C1|1645,AKR1C1|1645,AKR1B10|57016
AKR1C1|1645,AKR1C2|1646,AKR1C2|1646,AKR1C2|1646,AKR1B15|441282
AKR1C2|1646,AKR1C3|8644,AKR1C3|8644,AKR1C3|8644,AKR1C1|1645
AKR1C3|8644,AKR7A3|22977,AKR7A3|22977,AKR7A3|22977,AKR1C2|1646
AKR7A3|22977,ALB|213,ALB|213,ALB|213,AKR1C3|8644
ALB|213,ALDH1A1|216,ALDH1A1|216,ALDH1A1|216,AKR7A3|22977
ALDH1A1|216,ALDH1A2|8854,ALDH1A2|8854,ALDH1A2|8854,ALB|213
ALDH1A2|8854,ALDH1A3|220,ALDH1A3|220,ALDH1A3|220,ALDH1A1|216
ALDH1A3|220,ALDH1L1|10840,ALDH1L1|10840,ALDH1L1|10840,ALDH1A2|8854
ALDH1L1|10840,ALDH3A1|218,ALDH3A1|218,ALDH3A1|218,ALDH1A3|220
ALDH3A1|218,ALDH3B2|222,ALDH3B2|222,ALDH3B2|222,ALDH1L1|10840
ALDH3B2|222,ALDH8A1|64577,ALDH8A1|64577,ALDH8A1|64577,ALDH3A1|218
ALDH8A1|64577,ALDOB|229,ALDOB|229,ALDOB|229,ALDH3B2|222
ALDOB|229,ALG1L|200810,ALG1L|200810,ALG1L|200810,ALDH8A1|64577
ALG1L|200810,ALOX12P2|245,ALOX12P2|245,ALOX12P2|245,ALDOB|229
ALOX12P2|245,ALOX15B|247,ALOX15B|247,ALOX15B|247,ALG1L|200810
ALOX15B|247,ALOX15|246,ALOX15|246,ALOX15|246,ALOX12P2|245
ALOX15|246,ALPI|248,ALPI|248,ALPI|248,ALOX15B|247
ALPI|248,ALPK2|115701,ALPK2|115701,ALPK2|115701,ALOX15|246
ALPK2|115701,ALPL|249,ALPL|249,ALPL|249,ALPI|248
ALPL|249,AMBP|259,AMBP|259,AMBP|259,ALPK2|115701
AMBP|259,AMN|81693,AMDHD1|144193,AMDHD1|144193,ALPL|249
AMN|81693,AMY1A|276,AMN|81693,AMN|81693,AMBP|259
AMY1A|276,ANGPTL3|27329,AMY1A|276,AMY1A|276,AMDHD1|144193
ANGPTL3|27329,ANGPTL4|51129,ANGPTL3|27329,ANGPTL3|27329,AMN|81693
ANGPTL4|51129,ANGPTL7|10218,ANGPTL4|51129,ANGPTL4|51129,AMY1A|276
ANKRD1|27063,ANKRD30A|91074,ANGPTL7|10218,ANKRD30A|91074,ANGPTL3|27329
ANKRD30A|91074,ANKRD30B|374860,ANKRD30A|91074,ANKRD30B|374860,ANGPTL4|51129
ANKRD30B|374860,ANKRD34B|340120,ANKRD30B|374860,ANKRD34B|340120,ANGPTL7|10218
ANKRD34B|340120,ANKRD43|134548,ANKRD34B|340120,ANKRD43|134548,ANKRD1|27063
ANKRD43|134548,ANKS1B|56899,ANKRD43|134548,ANKS1B|56899,ANKRD30A|91074
ANKS1B|56899,ANKS4B|257629,ANKS1B|56899,ANKS4B|257629,ANKRD30B|374860
ANKS4B|257629,ANO3|63982,ANKS4B|257629,ANO3|63982,ANKRD34B|340120
ANO3|63982,ANO4|121601,ANO3|63982,ANO4|121601,ANKRD43|134548
ANO4|121601,ANO5|203859,ANO4|121601,ANO5|203859,ANKS1B|56899
ANO5|203859,ANO7|50636,ANO5|203859,ANO7|50636,ANKS4B|257629
ANO7|50636,ANPEP|290,ANO7|50636,ANPEP|290,ANO3|63982
ANPEP|290,ANXA13|312,ANPEP|290,ANXA13|312,ANO4|121601
ANXA13|312,ANXA3|306,ANXA13|312,ANXA3|306,ANO5|203859
ANXA3|306,ANXA8L2|244,ANXA3|306,ANXA8L2|244,ANO7|50636
ANXA8L2|244,ANXA8|653145,ANXA8L2|244,ANXA8|653145,ANPEP|290
ANXA8|653145,AOX1|316,ANXA8|653145,AOX1|316,ANXA13|312
AOX1|316,AP3B2|8120,AOX1|316,AP3B2|8120,ANXA3|306
AP3B2|8120,APCDD1L|164284,AP3B2|8120,APCDD1L|164284,ANXA8L2|244
APCDD1L|164284,APOB|338,APCDD1L|164284,APOB|338,ANXA8|653145
APOB|338,APOD|347,APOB|338,APOD|347,AOX1|316
APOD|347,APOF|319,APOD|347,APOF|319,AP3B2|8120
APOF|319,APOH|350,APOF|319,APOH|350,APCDD1L|164284
APOH|350,AQP3|360,APOH|350,AQP3|360,APOBEC1|339
AQP3|360,AQP4|361,AQP3|360,AQP4|361,APOB|338
AQP4|361,AQP5|362,AQP4|361,AQP5|362,APOD|347
AQP5|362,AQP7|364,AQP5|362,AQP7|364,APOF|319
AQP7|364,AQP9|366,AQP7|364,AQP9|366,APOH|350
AQP9|366,AREG|374,AQP9|366,AREG|374,AQP3|360
AREG|374,ARHGAP6|395,AREG|374,ARHGAP6|395,AQP4|361
ARHGAP6|395,ARHGDIG|398,ARHGAP6|395,ARHGDIG|398,AQP5|362
ARHGDIG|398,ARHGEF38|54848,ARHGDIG|398,ARHGEF38|54848,AQP7|364
ARHGEF4|50649,ARHGEF4|50649,ARHGEF4|50649,ARHGEF4|50649,AQP9|366
ARL14|80117,ARL14|80117,ARL14|80117,ARL14|80117,AREG|374
ARMC3|219681,ARMC3|219681,ARMC3|219681,ARMC3|219681,ARHGAP6|395
ARMC4|55130,ARMC4|55130,ARMC4|55130,ARMC4|55130,ARHGDIG|398
ARSE|415,ARSE|415,ARSE|415,ARSE|415,ARHGEF4|50649
ART3|419,ART3|419,ARSF|416,ART3|419,ARL14|80117
ARX|170302,ARX|170302,ART3|419,ARX|170302,ARMC3|219681
AR|367,AR|367,ARX|170302,AR|367,ARMC4|55130
ASAM|79827,ASAM|79827,AR|367,ASAM|79827,ARSE|415
ASB5|140458,ASB5|140458,ASAM|79827,ASB5|140458,ART3|419
ASCL1|429,ASCL1|429,ASB5|140458,ASCL1|429,ARX|170302
ASCL2|430,ASCL2|430,ASCL1|429,ASCL2|430,AR|367
ASPA|443,ASPA|443,ASCL2|430,ASPA|443,ASAM|79827
ASPG|374569,ASPG|374569,ASPA|443,ASPG|374569,ASB5|140458
ASPN|54829,ASPN|54829,ASPG|374569,ASPN|54829,ASCL1|429
ATCAY|85300,ATCAY|85300,ATCAY|85300,ATCAY|85300,ASCL2|430
ATOH8|84913,ATOH8|84913,ATOH8|84913,ATOH8|84913,ASPA|443
ATP10B|23120,ATP10B|23120,ATP10B|23120,ATP10B|23120,ASPG|374569
ATP12A|479,ATP12A|479,ATP12A|479,ATP12A|479,ASPN|54829
ATP13A4|84239,ATP13A4|84239,ATP13A4|84239,ATP13A4|84239,ATCAY|85300
ATP13A5|344905,ATP13A5|344905,ATP13A5|344905,ATP13A5|344905,ATOH8|84913
ATP1A2|477,ATP1A2|477,ATP1A2|477,ATP1A2|477,ATP10B|23120
ATP2B2|491,ATP2B2|491,ATP2B2|491,ATP2B2|491,ATP12A|479
ATP2C2|9914,ATP2C2|9914,ATP2C2|9914,ATP2C2|9914,ATP13A4|84239
ATP6V0A4|50617,ATP6V0A4|50617,ATP6V0A4|50617,ATP6V0A4|50617,ATP13A5|344905
ATP6V1B1|525,ATP6V1B1|525,ATP6V1B1|525,ATP6V1B1|525,ATP1A2|477
ATP8A2|51761,ATRNL1|26033,ATP8A2|51761,ATP8A2|51761,ATP2B2|491
ATRNL1|26033,AZGP1|563,ATRNL1|26033,ATRNL1|26033,ATP2C2|9914
AZGP1|563,B3GALT5|10317,AZGP1|563,AZGP1|563,ATP6V0A4|50617
B3GALT5|10317,B3GAT1|27087,B3GALT5|10317,B3GALT5|10317,ATP6V1B1|525
B3GAT1|27087,B3GNT3|10331,B3GAT1|27087,B3GAT1|27087,ATRNL1|26033
B3GNT3|10331,B3GNT6|192134,B3GNT3|10331,B3GNT3|10331,AZGP1|563
B3GNT6|192134,B4GALNT2|124872,B3GNT6|192134,B3GNT6|192134,B3GALT5|10317
B4GALNT2|124872,B4GALNT3|283358,B3GNT7|93010,B4GALNT2|124872,B3GAT1|27087
B4GALNT3|283358,B4GALNT4|338707,B4GALNT2|124872,B4GALNT3|283358,B3GNT3|10331
B4GALNT4|338707,BAAT|570,B4GALNT3|283358,B4GALNT4|338707,B3GNT6|192134
BAAT|570,BAI2|576,B4GALNT4|338707,BAAT|570,B4GALNT2|124872
BAI2|576,BAIAP2L2|80115,BAAT|570,BAI2|576,B4GALNT3|283358
BAIAP2L2|80115,BANK1|55024,BAI2|576,BAIAP2L2|80115,B4GALNT4|338707
BANK1|55024,BARX1|56033,BAIAP2L2|80115,BANK1|55024,BAAT|570
BARX1|56033,BARX2|8538,BANK1|55024,BARX1|56033,BAI2|576
BARX2|8538,BBOX1|8424,BARX1|56033,BARX2|8538,BAIAP2L2|80115
BBOX1|8424,BCAS1|8537,BARX2|8538,BBOX1|8424,BANK1|55024
BCAS1|8537,BCL2L14|79370,BBOX1|8424,BCAS1|8537,BARX1|56033
BCL2L14|79370,BCL2L15|440603,BCAS1|8537,BCL2L14|79370,BARX2|8538
BCL2L15|440603,BCL8|606,BCL2L14|79370,BCL2L15|440603,BBOX1|8424
BCL8|606,BCMO1|53630,BCL2L15|440603,BCL8|606,BCAS1|8537
BCMO1|53630,BEND4|389206,BCL8|606,BCMO1|53630,BCL2L14|79370
BEND4|389206,BEX1|55859,BCMO1|53630,BEND4|389206,BCL2L15|440603
BEX1|55859,BHLHA15|168620,BEND4|389206,BEX1|55859,BCL8|606
BHMT2|23743,BHMT2|23743,BEX1|55859,BHLHA15|168620,BCMO1|53630
BHMT|635,BHMT|635,BHLHA15|168620,BHMT2|23743,BEND4|389206
BICC1|80114,BICC1|80114,BHMT2|23743,BHMT|635,BEX1|55859
BIK|638,BIK|638,BHMT|635,BICC1|80114,BHLHA15|168620
BIRC7|79444,BIRC7|79444,BICC1|80114,BIK|638,BHMT2|23743
BLK|640,BLK|640,BIK|638,BIRC7|79444,BHMT|635
BMP2|650,BMP2|650,BIRC7|79444,BLK|640,BICC1|80114
BMP3|651,BMP3|651,BLK|640,BMP2|650,BIK|638
BMP5|653,BMP5|653,BMP2|650,BMP3|651,BIRC7|79444
BMP7|655,BMP7|655,BMP3|651,BMP5|653,BLK|640
BMPR1B|658,BMPR1B|658,BMP5|653,BMP7|655,BMP2|650
BNIPL|149428,BNIPL|149428,BMP7|655,BMPR1B|658,BMP3|651
BPIL1|80341,BPIL1|80341,BMPR1B|658,BNIPL|149428,BMP5|653
BRDT|676,BRDT|676,BNIPL|149428,BPIL1|80341,BMP7|655
BRSK2|9024,BRSK2|9024,BPIL1|80341,BRSK2|9024,BMPR1B|658
BTNL3|10917,BTNL3|10917,BRDT|676,BTNL3|10917,BNIPL|149428
C10orf107|219621,C10orf107|219621,BRSK2|9024,BTNL9|153579,BPIL1|80341
C10orf108|414235,C10orf108|414235,BTNL3|10917,C10orf107|219621,BRDT|676
C10orf81|79949,C10orf81|79949,C10orf107|219621,C10orf108|414235,BRSK2|9024
C10orf82|143379,C10orf82|143379,C10orf108|414235,C10orf81|79949,BTNL3|10917
C10orf99|387695,C10orf99|387695,C10orf81|79949,C10orf82|143379,C10orf107|219621
C11orf41|25758,C11orf41|25758,C10orf82|143379,C10orf99|387695,C10orf108|414235
C11orf86|254439,C11orf86|254439,C10orf99|387695,C11orf41|25758,C10orf81|79949
C11orf92|399948,C11orf92|399948,C11orf41|25758,C11orf86|254439,C10orf82|143379
C11orf9|745,C11orf9|745,C11orf86|254439,C11orf92|399948,C10orf99|387695
C12orf27|283460,C12orf27|283460,C11orf92|399948,C11orf9|745,C11orf41|25758
C12orf36|283422,C12orf36|283422,C11orf9|745,C12orf27|283460,C11orf86|254439
C12orf39|80763,C12orf39|80763,C12orf27|283460,C12orf36|283422,C11orf92|399948
C12orf56|115749,C12orf56|115749,C12orf36|283422,C12orf39|80763,C11orf9|745
C13orf30|144809,C13orf30|144809,C12orf39|80763,C12orf56|115749,C12orf27|283460
C14orf105|55195,C14orf105|55195,C12orf56|115749,C14orf105|55195,C12orf36|283422
C14orf180|400258,C14orf180|400258,C13orf30|144809,C14orf64|388011,C12orf39|80763
C14orf64|388011,C14orf64|388011,C14orf105|55195,C14orf73|91828,C12orf56|115749
C14orf73|91828,C14orf73|91828,C14orf180|400258,C15orf21|283651,C13orf30|144809
C15orf21|283651,C15orf21|283651,C14orf64|388011,C15orf48|84419,C14orf105|55195
C15orf48|84419,C15orf48|84419,C14orf73|91828,C16orf89|146556,C14orf180|400258
C16orf89|146556,C16orf89|146556,C15orf21|283651,C17orf93|360205,C14orf64|388011
C17orf73|55018,C17orf73|55018,C15orf48|84419,C19orf21|126353,C14orf73|91828
C17orf93|360205,C17orf93|360205,C16orf89|146556,C19orf33|64073,C15orf21|283651
C19orf21|126353,C19orf21|126353,C17orf73|55018,C19orf46|163183,C15orf48|84419
C19orf33|64073,C19orf33|64073,C17orf93|360205,C19orf59|199675,C16orf89|146556
C19orf46|163183,C19orf46|163183,C19orf21|126353,C19orf77|284422,C17orf93|360205
C19orf59|199675,C19orf59|199675,C19orf33|64073,C1QL1|10882,C19orf21|126353
C19orf77|284422,C19orf77|284422,C19orf46|163183,C1QL4|338761,C19orf33|64073
C1QL1|10882,C1QL1|10882,C19orf59|199675,C1orf106|55765,C19orf46|163183
C1QL4|338761,C1QL4|338761,C19orf77|284422,C1orf116|79098,C19orf59|199675
C1orf106|55765,C1orf106|55765,C1QL1|10882,C1orf130|400746,C19orf77|284422
C1orf116|79098,C1orf116|79098,C1QL4|338761,C1orf168|199920,C1QL1|10882
C1orf130|400746,C1orf130|400746,C1orf106|55765,C1orf173|127254,C1QL4|338761
C1orf168|199920,C1orf168|199920,C1orf116|79098,C1orf186|440712,C1orf106|55765
C1orf173|127254,C1orf173|127254,C1orf130|400746,C1orf64|149563,C1orf116|79098
C1orf186|440712,C1orf186|440712,C1orf168|199920,C1orf95|375057,C1orf130|400746
C1orf64|149563,C1orf64|149563,C1orf173|127254,C20orf103|24141,C1orf168|199920
C1orf95|375057,C1orf95|375057,C1orf186|440712,C20orf114|92747,C1orf173|127254
C20orf103|24141,C20orf103|24141,C1orf64|149563,C20orf151|140893,C1orf186|440712
C20orf114|92747,C20orf114|92747,C1orf95|375057,C20orf56|140828,C1orf64|149563
C20orf151|140893,C20orf151|140893,C20orf103|24141,C20orf85|128602,C1orf95|375057
C20orf56|140828,C20orf56|140828,C20orf114|92747,C21orf62|56245,C20orf103|24141
C20orf85|128602,C20orf85|128602,C20orf151|140893,C22orf45|646023,C20orf114|92747
C21orf62|56245,C21orf62|56245,C20orf56|140828,C2CD4A|145741,C20orf151|140893
C22orf45|646023,C22orf45|646023,C20orf85|128602,C2orf14|100132708,C20orf56|140828
C2CD4A|145741,C2CD4A|145741,C21orf62|56245,C2orf40|84417,C20orf85|128602
C2orf14|100132708,C2orf14|100132708,C22orf45|646023,C2orf54|79919,C21orf62|56245
C2orf40|84417,C2orf40|84417,C2CD4A|145741,C2orf72|257407,C22orf45|646023
C2orf54|79919,C2orf54|79919,C2orf14|100132708,C2orf89|129293,C2CD4A|145741
C2orf72|257407,C2orf72|257407,C2orf40|84417,C3orf15|89876,C2orf14|100132708
C2orf89|129293,C2orf89|129293,C2orf54|79919,C3orf57|165679,C2orf40|84417
C3orf15|89876,C3orf15|89876,C2orf72|257407,C4A|720,C2orf54|79919
C3orf57|165679,C3orf57|165679,C2orf89|129293,C4BPA|722,C2orf72|257407
C3|718,C4A|720,C3orf15|89876,C4BPB|725,C2orf89|129293
C4A|720,C4BPA|722,C3orf57|165679,C4orf31|79625,C3orf15|89876
C4BPA|722,C4BPB|725,C4A|720,C4orf6|10141,C3orf57|165679
C4BPB|725,C4orf19|55286,C4BPA|722,C4orf7|260436,C4A|720
C4orf19|55286,C4orf31|79625,C4BPB|725,C5orf23|79614,C4BPA|722
C4orf31|79625,C4orf6|10141,C4orf19|55286,C5orf27|202299,C4BPB|725
C4orf6|10141,C4orf7|260436,C4orf31|79625,C5orf38|153571,C4orf19|55286
C4orf7|260436,C5orf23|79614,C4orf6|10141,C5orf46|389336,C4orf31|79625
C5orf23|79614,C5orf27|202299,C4orf7|260436,C5orf49|134121,C4orf6|10141
C5orf27|202299,C5orf38|153571,C5orf23|79614,C6orf141|135398,C4orf7|260436
C5orf38|153571,C5orf46|389336,C5orf27|202299,C6orf168|84553,C5orf23|79614
C5orf46|389336,C5orf49|134121,C5orf38|153571,C6orf176|90632,C5orf27|202299
C5orf49|134121,C6orf141|135398,C5orf46|389336,C6orf222|389384,C5orf38|153571
C6orf141|135398,C6orf168|84553,C5orf49|134121,C6orf223|221416,C5orf46|389336
C6orf168|84553,C6orf176|90632,C6orf141|135398,C6|729,C5orf49|134121
C6orf176|90632,C6orf222|389384,C6orf168|84553,C7|730,C6orf141|135398
C6orf222|389384,C6orf223|221416,C6orf176|90632,C8orf34|116328,C6orf168|84553
C6orf223|221416,C6|729,C6orf222|389384,C8orf46|254778,C6orf176|90632
C6|729,C7|730,C6orf223|221416,C8orf47|203111,C6orf222|389384
