fold_1,fold_2,fold_3,fold_4,fold_5
KLK3|354,KLK3|354,KLK11|11012,KLK11|11012,KLK2|3817
KLK4|9622,KLK4|9622,KLK2|3817,KLK2|3817,KLK3|354
KRT14|3861,KRT14|3861,KLK3|354,KLK3|354,KLK4|9622
KRT15|3866,KRT15|3866,KLK4|9622,KLK4|9622,KRT14|3861
KRT20|54474,KRT20|54474,KRT14|3861,KRT14|3861,KRT15|3866
KRT23|25984,KRT23|25984,KRT15|3866,KRT15|3866,KRT20|54474
KRT5|3852,KRT5|3852,KRT20|54474,KRT20|54474,KRT23|25984
KRT6B|3854,LCN2|3934,KRT23|25984,KRT23|25984,KRT5|3852
LCN2|3934,LGALS4|3960,KRT5|3852,KRT5|3852,LCN2|3934
LGALS4|3960,LMX1B|4010,LCN2|3934,LCN2|3934,LGALS4|3960
LMX1B|4010,LRP2|4036,LGALS4|3960,LGALS4|3960,LMX1B|4010
LRP2|4036,LRRC15|131578,LMX1B|4010,LMX1B|4010,LRP2|4036
LRRC15|131578,LTF|4057,LRP2|4036,LRP2|4036,LRRC15|131578
LTF|4057,MSLN|10232,LRRC15|131578,LRRC15|131578,LTF|4057
MSLN|10232,MSMB|4477,LTF|4057,MSLN|10232,MSLN|10232
MSMB|4477,MUC13|56667,MSLN|10232,MSMB|4477,MSMB|4477
MUC13|56667,MUC16|94025,MSMB|4477,MUC13|56667,MUC13|56667
MUC16|94025,MUC21|394263,MUC13|56667,MUC16|94025,MUC16|94025
MUC2|4583,MUC2|4583,MUC2|4583,MUC2|4583,MUC2|4583
MUC4|4585,MUC4|4585,MUC4|4585,MUC4|4585,MUC4|4585
MUC5B|727897,MUC5B|727897,MUC5B|727897,MUC5B|727897,MUC5B|727897
MUCL1|118430,MUCL1|118430,MUCL1|118430,MUCL1|118430,MUCL1|118430
MYBPC1|4604,MYBPC1|4604,MYBPC1|4604,MYBPC1|4604,MYBPC1|4604
NAPSA|9476,NAPSA|9476,NAPSA|9476,NAPSA|9476,NAPSA|9476
NAT8|9027,NAT8|9027,NAT8|9027,NAT8|9027,NAT8|9027
NKX2-1|7080,NKX2-1|7080,NKX2-1|7080,NKX2-1|7080,NKX2-1|7080
NPY|4852,NKX3-1|4824,NKX3-1|4824,NKX3-1|4824,NKX3-1|4824
NR1H4|9971,NPY|4852,NPY|4852,NPY|4852,NPY|4852
OLFM4|10562,NR1H4|9971,NR1H4|9971,NR1H4|9971,NR1H4|9971
OR51E2|81285,OLFM4|10562,OLFM4|10562,OLFM4|10562,OLFM4|10562
PART1|25859,OR51E2|81285,OR51E2|81285,OR51E2|81285,OR51E2|81285
PAX2|5076,PART1|25859,PART1|25859,PART1|25859,PART1|25859
PCA3|50652,PAX2|5076,PAX2|5076,PAX2|5076,PAX2|5076
PCK1|5105,PCA3|50652,PCA3|50652,PCA3|50652,PCA3|50652
PDZK1|5174,PCK1|5105,PCK1|5105,PCK1|5105,PCK1|5105
PGC|5225,PDZK1|5174,PDZK1|5174,PDZK1|5174,PDZK1|5174
PIGR|5284,PGC|5225,PGC|5225,PGC|5225,PGC|5225
PIP|5304,PIGR|5284,PIGR|5284,PIGR|5284,PIGR|5284
PLA2G2A|5320,PIP|5304,PIP|5304,PIP|5304,PIP|5304
PLUNC|51297,PLA2G2A|5320,PLA2G2A|5320,PLA2G2A|5320,PLA2G2A|5320
PPP1R1B|84152,PLUNC|51297,PPP1R1B|84152,PLUNC|51297,PLUNC|51297
PRAC|84366,PPP1R1B|84152,PRAC|84366,PPP1R1B|84152,PPP1R1B|84152
PRAME|23532,PRAC|84366,PRAME|23532,PRAC|84366,PRAC|84366
PRAP1|118471,PRAP1|118471,PRAP1|118471,PRAME|23532,PRAME|23532
PSCA|8000,PTPRT|11122,PSCA|8000,PRAP1|118471,PRAP1|118471
PTPRT|11122,REG1A|5967,PTPRT|11122,PSCA|8000,PSCA|8000
REG1A|5967,RPS4Y1|6192,REG1A|5967,PTPRT|11122,PTPRT|11122
RPS4Y1|6192,S100P|6286,REG4|83998,REG1A|5967,REG1A|5967
S100P|6286,SCEL|8796,RPS4Y1|6192,RPS4Y1|6192,REG4|83998
SCEL|8796,SCGB1A1|7356,S100P|6286,S100P|6286,RPS4Y1|6192
SCGB1D2|10647,SCGB1D2|10647,SCGB1D2|10647,SCGB1D2|10647,S100P|6286
SCGB2A2|4250,SCGB2A2|4250,SCGB2A2|4250,SCGB2A2|4250,SCGB1A1|7356
SCGB3A2|117156,SCGB3A2|117156,SCGB3A2|117156,SCGB3A2|117156,SCGB1D2|10647
SDR16C5|195814,SDR16C5|195814,SDR16C5|195814,SDR16C5|195814,SCGB2A2|4250
SERPINA3|12,SERPINA3|12,SERPINA3|12,SERPINA3|12,SCGB3A2|117156
SERPINA6|866,SERPINA6|866,SERPINA6|866,SERPINA6|866,SDR16C5|195814
SFTA2|389376,SFTA2|389376,SFTA2|389376,SFTA2|389376,SERPINA6|866
SFTA3|253970,SFTA3|253970,SFTA3|253970,SFTA3|253970,SFTA2|389376
SFTPA1|653509,SFTPA1|653509,SFTPA1|653509,SFTPA1|653509,SFTA3|253970
SFTPA2|729238,SFTPA2|729238,SFTPA2|729238,SFTPA2|729238,SFTPA1|653509
SFTPB|6439,SFTPB|6439,SFTPB|6439,SFTPB|6439,SFTPA2|729238
SFTPC|6440,SFTPC|6440,SFTPC|6440,SFTPC|6440,SFTPB|6439
SLC17A3|10786,SLC17A3|10786,SLC17A3|10786,SLC17A3|10786,SFTPC|6440
SLC17A4|10050,SLC17A4|10050,SLC17A4|10050,SLC17A4|10050,SLC17A3|10786
SLC22A2|6582,SLC22A2|6582,SLC22A2|6582,SLC22A2|6582,SLC17A4|10050
SLC28A1|9154,SLC28A1|9154,SLC28A1|9154,SLC28A1|9154,SLC22A2|6582
SLC34A2|10568,SLC34A2|10568,SLC34A2|10568,SLC34A2|10568,SLC28A1|9154
SLC39A5|283375,SLC39A5|283375,SLC39A5|283375,SLC39A5|283375,SLC34A2|10568
SLC3A1|6519,SLC3A1|6519,SLC3A1|6519,SLC3A1|6519,SLC39A5|283375
SLC4A4|8671,SLC4A4|8671,SLC4A4|8671,SLC4A4|8671,SLC3A1|6519
SLC5A12|159963,SLC5A12|159963,SLC5A12|159963,SLC5A12|159963,SLC4A4|8671
SLC6A13|6540,SLC6A13|6540,SLC6A13|6540,SLC6A13|6540,SLC6A13|6540
SLC6A14|11254,SLC6A14|11254,SLC6A14|11254,SLC6A14|11254,SLC6A14|11254
SLC6A3|6531,SLC6A3|6531,SLC6A3|6531,SLC6A3|6531,SLC6A3|6531
SLCO4C1|353189,SLCO4C1|353189,SLCO4C1|353189,SLCO4C1|353189,SLCO4C1|353189
SPDEF|25803,SPDEF|25803,SPDEF|25803,SPDEF|25803,SPDEF|25803
SPINK1|6690,SPINK1|6690,SPINK1|6690,SPINK1|6690,SPINK1|6690
ST6GALNAC1|55808,ST6GALNAC1|55808,ST6GALNAC1|55808,ST6GALNAC1|55808,ST6GALNAC1|55808
TARP|445347,TARP|445347,TARP|445347,TARP|445347,TARP|445347
TFAP2B|7021,TFAP2B|7021,TFAP2B|7021,TFAP2B|7021,TFAP2B|7021
TFF1|7031,TFF1|7031,TFF1|7031,TFF1|7031,TFF1|7031
TINAG|27283,TINAG|27283,TINAG|27283,TINAG|27283,TINAG|27283
TMC5|79838,TMC5|79838,TMC5|79838,TMC5|79838,TMC5|79838
TMEFF2|23671,TMEFF2|23671,TMEFF2|23671,TMEFF2|23671,TMEFF2|23671
TMPRSS2|7113,TMPRSS2|7113,TMPRSS2|7113,TMPRSS2|7113,TMPRSS2|7113
TMPRSS4|56649,TMPRSS4|56649,TMPRSS4|56649,TMPRSS4|56649,TMPRSS4|56649
TNNT1|7138,TNNT1|7138,TNNT1|7138,TNNT1|7138,TNNT1|7138
TRPM8|79054,TRPM8|79054,TRPM8|79054,TRPM8|79054,TRPM8|79054
TRPV6|55503,TRPV6|55503,TRPV6|55503,TRPV6|55503,TRPV6|55503
TSPAN8|7103,TSPAN8|7103,TSPAN8|7103,TSPAN8|7103,TSPAN8|7103
TTTY15|64595,TTTY15|64595,TTTY15|64595,TTTY15|64595,TTTY15|64595
UGT1A6|54578,UGT1A6|54578,UGT1A6|54578,UGT1A6|54578,UGT1A6|54578
UGT1A9|54600,UGT1A9|54600,UGT1A9|54600,UGT1A9|54600,UGT1A9|54600
UGT2A3|79799,UGT2A3|79799,UGT2A3|79799,UGT2A3|79799,UGT2A3|79799
UGT2B7|7364,UGT2B7|7364,UGT2B7|7364,UGT2B7|7364,UGT2B7|7364
USH1C|10083,USH1C|10083,USH1C|10083,USH1C|10083,USH1C|10083
USP9Y|8287,USP9Y|8287,USP9Y|8287,USP9Y|8287,USP9Y|8287
UTY|7404,UTY|7404,UTY|7404,UTY|7404,UTY|7404
VIL1|7429,VIL1|7429,VIL1|7429,VIL1|7429,VIL1|7429
VTCN1|79679,VTCN1|79679,VTCN1|79679,VTCN1|79679,VTCN1|79679
WDR72|256764,WDR72|256764,WDR72|256764,WDR72|256764,WDR72|256764
XAGE1D|9503,XAGE1D|9503,XAGE1D|9503,XAGE1D|9503,XAGE1D|9503
XIST|7503,XIST|7503,XIST|7503,XIST|7503,XIST|7503
ZFY|7544,ZFY|7544,ZFY|7544,ZFY|7544,ZFY|7544
