fold_1,fold_2,fold_3,fold_4,fold_5
553137,553137,553137,553137,553137
A1CF|29974,A1CF|29974,A1CF|29974,A1CF|29974,A1CF|29974
ABCA12|26154,ABCA12|26154,ABCA12|26154,ABCA12|26154,ABCA12|26154
ABCC11|85320,ABCC11|85320,ABCC11|85320,ABCC11|85320,ABCC11|85320
ABCC8|6833,ABCC8|6833,ABCC8|6833,ABCC8|6833,ABCC8|6833
ABP1|26,ABP1|26,ABP1|26,ABP1|26,ABP1|26
ACADL|33,ACADL|33,ACADL|33,ACADL|33,ACADL|33
ACE2|59272,ACE2|59272,ACE2|59272,ACE2|59272,ACE2|59272
ACMSD|130013,ACMSD|130013,ACMSD|130013,ACMSD|130013,ACMSD|130013
ACPP|55,ACPP|55,ACPP|55,ACPP|55,ACPP|55
ACSM2A|123876,ACSM2A|123876,ACSM2A|123876,ACSM2A|123876,ACSM2A|123876
ACSM2B|348158,ACSM2B|348158,ACSM2B|348158,ACSM2B|348158,ACSM2B|348158
ACY3|91703,ACY3|91703,ACY3|91703,ACY3|91703,ACY3|91703
ADH1B|125,ADH1B|125,ADH1B|125,ADH1B|125,ADH1B|125
ADIPOQ|9370,ADIPOQ|9370,ADIPOQ|9370,ADIPOQ|9370,ADIPOQ|9370
AGR2|10551,AGR2|10551,AGR2|10551,AGR2|10551,AGR2|10551
AGR3|155465,AGR3|155465,AGR3|155465,AGR3|155465,AGR3|155465
AGXT2|64902,AGXT2|64902,AGXT2|64902,AGXT2|64902,AGXT2|64902
AKR1B10|57016,AKR1B10|57016,AKR1B10|57016,AKR1B10|57016,AKR1B10|57016
ALDH1L1|10840,ALDH1L1|10840,ALDH1L1|10840,ALDH1L1|10840,ALDH1L1|10840
ALDH3B2|222,ALDH3B2|222,ALDH3B2|222,ALDH3B2|222,ALDH3B2|222
ALDOB|229,ALDOB|229,ALDOB|229,ALDOB|229,ALDOB|229
ALOX15B|247,ALOX15B|247,ALOX15B|247,ALOX15B|247,ALOX15B|247
AMN|81693,AMN|81693,AMN|81693,AMN|81693,AMN|81693
AMY1A|276,AMY1A|276,AMY1A|276,AMY1A|276,AMY1A|276
ANKRD30A|91074,ANGPTL4|51129,ANKRD30A|91074,ANKRD30A|91074,ANGPTL4|51129
ANKRD30B|374860,ANKRD30A|91074,ANKRD30B|374860,ANKRD30B|374860,ANKRD30A|91074
ANKS4B|257629,ANKRD30B|374860,ANKS4B|257629,ANKS4B|257629,ANKRD30B|374860
ANXA13|312,ANKS4B|257629,ANXA13|312,ANXA13|312,ANKS4B|257629
ANXA8|653145,ANXA13|312,AQP4|361,ANXA8|653145,ANXA13|312
AQP4|361,ANXA8|653145,AQP5|362,AQP4|361,ANXA8|653145
AQP5|362,AQP4|361,ARSE|415,AQP5|362,AQP4|361
ARSE|415,AQP5|362,AR|367,ARSE|415,AQP5|362
AR|367,ARSE|415,ATP10B|23120,AR|367,ARSE|415
ATP10B|23120,ASCL1|429,ATP13A4|84239,ATP10B|23120,AR|367
ATP13A4|84239,ATP10B|23120,ATP6V0A4|50617,ATP6V0A4|50617,ATP10B|23120
AZGP1|563,ATP6V0A4|50617,AZGP1|563,AZGP1|563,ATP6V0A4|50617
B3GNT6|192134,AZGP1|563,B3GNT3|10331,B3GNT6|192134,AZGP1|563
BBOX1|8424,B3GNT6|192134,B3GNT6|192134,BBOX1|8424,B3GNT3|10331
BCAS1|8537,BBOX1|8424,BBOX1|8424,BCAS1|8537,B3GNT6|192134
BEND4|389206,BCAS1|8537,BCAS1|8537,BEND4|389206,BBOX1|8424
BHMT2|23743,BEND4|389206,BEND4|389206,BHMT2|23743,BCAS1|8537
BHMT|635,BHMT2|23743,BHMT2|23743,BHMT|635,BEND4|389206
BMPR1B|658,BHMT|635,BHMT|635,BMPR1B|658,BHMT2|23743
BPIL1|80341,BMPR1B|658,BMPR1B|658,BPIL1|80341,BHMT|635
C10orf81|79949,BPIL1|80341,BNIPL|149428,C10orf81|79949,BMPR1B|658
C10orf99|387695,C10orf81|79949,BPIL1|80341,C10orf99|387695,BPIL1|80341
C12orf36|283422,C10orf99|387695,C10orf81|79949,C12orf36|283422,C10orf81|79949
C14orf105|55195,C12orf36|283422,C10orf99|387695,C14orf105|55195,C10orf99|387695
C16orf89|146556,C14orf105|55195,C12orf36|283422,C16orf89|146556,C12orf36|283422
C17orf93|360205,C16orf89|146556,C14orf105|55195,C17orf93|360205,C14orf105|55195
C19orf77|284422,C17orf93|360205,C16orf89|146556,C19orf77|284422,C16orf89|146556
C1orf116|79098,C19orf21|126353,C17orf93|360205,C1orf116|79098,C17orf93|360205
C1orf64|149563,C19orf77|284422,C19orf21|126353,C1orf64|149563,C19orf77|284422
C20orf114|92747,C1orf116|79098,C19orf77|284422,C20orf114|92747,C1orf116|79098
